Familia,Tipo,FechaCompleta,Porcentaje,Valor,Dia,Hora,BajasEmisiones
Renovable,Solar térmica,2023-01-14T23:00:00.000Z,0.005383571651710903,2302.046,2023-01-14,23:00:00,true
Renovable,Solar térmica,2023-01-15T23:00:00.000Z,0.0010696979778909226,580.014,2023-01-15,23:00:00,true
Renovable,Solar térmica,2023-01-16T23:00:00.000Z,2.3312285574216002E-4,124.171,2023-01-16,23:00:00,true
Renovable,Solar térmica,2023-01-17T23:00:00.000Z,0.006951469865570772,3684.869,2023-01-17,23:00:00,true
Renovable,Solar térmica,2023-01-18T23:00:00.000Z,0.007436759470655604,4123.896,2023-01-18,23:00:00,true
Renovable,Solar térmica,2023-01-19T23:00:00.000Z,0.004100071066366639,1928.906,2023-01-19,23:00:00,true
Renovable,Solar térmica,2023-01-20T23:00:00.000Z,0.005455035524642693,2493.303,2023-01-20,23:00:00,true
Renovable,Solar térmica,2023-01-21T23:00:00.000Z,0.01754440870672589,8608.993,2023-01-21,23:00:00,true
Renovable,Solar térmica,2023-01-22T23:00:00.000Z,0.014961702219893527,8029.282,2023-01-22,23:00:00,true
Renovable,Solar térmica,2023-01-23T23:00:00.000Z,0.011652750413868289,5562.049,2023-01-23,23:00:00,true
Renovable,Solar térmica,2023-01-24T23:00:00.000Z,0.014011190689049628,6771.8,2023-01-24,23:00:00,true
Renovable,Solar térmica,2023-01-25T23:00:00.000Z,0.0033527135876827855,1834.559,2023-01-25,23:00:00,true
Renovable,Solar térmica,2023-01-26T23:00:00.000Z,0.011840044659732091,6864.319,2023-01-26,23:00:00,true
Renovable,Solar térmica,2023-01-27T23:00:00.000Z,0.017199828212900545,8876.719,2023-01-27,23:00:00,true
Renovable,Solar térmica,2023-01-28T23:00:00.000Z,0.01929311028195229,8461.251,2023-01-28,23:00:00,true
Renovable,Solar térmica,2023-01-29T23:00:00.000Z,0.01767070952264181,7323.485,2023-01-29,23:00:00,true
Renovable,Solar térmica,2023-01-30T23:00:00.000Z,0.016601999017912074,7715.756,2023-01-30,23:00:00,true
Renovable,Hidroeólica,2022-12-31T23:00:00.000Z,1.1227966169015135E-5,3.16,2022-12-31,23:00:00,true
Renovable,Hidroeólica,2023-01-01T23:00:00.000Z,3.465881078958487E-5,9.625,2023-01-01,23:00:00,true
Renovable,Hidroeólica,2023-01-02T23:00:00.000Z,1.1637889469887849E-4,34.612,2023-01-02,23:00:00,true
Renovable,Hidroeólica,2023-01-03T23:00:00.000Z,6.984645778360946E-5,19.803,2023-01-03,23:00:00,true
Renovable,Hidroeólica,2023-01-04T23:00:00.000Z,1.0884612116005887E-5,2.894,2023-01-04,23:00:00,true
Renovable,Hidroeólica,2023-01-05T23:00:00.000Z,4.281832190488902E-5,12.444,2023-01-05,23:00:00,true
Renovable,Hidroeólica,2023-01-06T23:00:00.000Z,1.6522282662501555E-5,7.072,2023-01-06,23:00:00,true
Renovable,Hidroeólica,2023-01-07T23:00:00.000Z,2.244904115726945E-5,10.858,2023-01-07,23:00:00,true
Renovable,Hidroeólica,2023-01-08T23:00:00.000Z,7.018427815953352E-6,3.281,2023-01-08,23:00:00,true
Renovable,Hidroeólica,2023-01-09T23:00:00.000Z,5.6787343638925905E-5,24.01,2023-01-09,23:00:00,true
Renovable,Hidroeólica,2023-01-10T23:00:00.000Z,1.8159914127577247E-4,72.894,2023-01-10,23:00:00,true
Renovable,Hidroeólica,2023-01-11T23:00:00.000Z,2.4775540503563194E-4,97.084,2023-01-11,23:00:00,true
Renovable,Hidroeólica,2023-01-12T23:00:00.000Z,2.3958271009958282E-4,93.648,2023-01-12,23:00:00,true
